timestamp,demand_forecast_mw
2023-01-06 11:00:00,147.3551
2023-01-06 12:00:00,147.52171
2023-01-06 13:00:00,147.3551
2023-01-06 14:00:00,147.52171
2023-01-06 15:00:00,147.52171
2023-01-06 16:00:00,147.52171
2023-01-06 17:00:00,147.3551
2023-01-06 18:00:00,147.3551
2023-01-06 19:00:00,147.52171
2023-01-06 20:00:00,147.51437
2023-01-06 21:00:00,147.52171
2023-01-06 22:00:00,147.52171
2023-01-06 23:00:00,147.35196
2023-01-07 00:00:00,149.4575
2023-01-07 01:00:00,148.88026
2023-01-07 02:00:00,148.88026
2023-01-07 03:00:00,148.88026
2023-01-07 04:00:00,150.3974
2023-01-07 05:00:00,150.04434
2023-01-07 06:00:00,149.82895
2023-01-07 07:00:00,150.09953
2023-01-07 08:00:00,150.31493
2023-01-07 09:00:00,150.09953
2023-01-07 10:00:00,150.09953
2023-01-07 11:00:00,150.09953
2023-01-07 12:00:00,150.09953
2023-01-07 13:00:00,150.05235
2023-01-07 14:00:00,150.26775
2023-01-07 15:00:00,150.05235
2023-01-07 16:00:00,150.05235
2023-01-07 17:00:00,150.05235
2023-01-07 18:00:00,150.05235
2023-01-07 19:00:00,150.05235
2023-01-07 20:00:00,150.05235
2023-01-07 21:00:00,150.05235
2023-01-07 22:00:00,150.43124
2023-01-07 23:00:00,150.33006
2023-01-08 00:00:00,145.82353
2023-01-08 01:00:00,146.06967
2023-01-08 02:00:00,146.06967
2023-01-08 03:00:00,146.06967
2023-01-08 04:00:00,147.37141
2023-01-08 05:00:00,147.37141
2023-01-08 06:00:00,147.37141
2023-01-08 07:00:00,147.642
2023-01-08 08:00:00,147.642
2023-01-08 09:00:00,147.642
2023-01-08 10:00:00,147.642
2023-01-08 11:00:00,147.642
2023-01-08 12:00:00,147.642
2023-01-08 13:00:00,147.59482
2023-01-08 14:00:00,147.59482
2023-01-08 15:00:00,147.81021
2023-01-08 16:00:00,147.59482
2023-01-08 17:00:00,147.59482
2023-01-08 18:00:00,147.59482
2023-01-08 19:00:00,147.59482
2023-01-08 20:00:00,147.59482
2023-01-08 21:00:00,147.59482
2023-01-08 22:00:00,147.97371
2023-01-08 23:00:00,148.08792
2023-01-09 00:00:00,136.62975
2023-01-09 01:00:00,137.09128
2023-01-09 02:00:00,137.09128
2023-01-09 03:00:00,137.09128
2023-01-09 04:00:00,138.20163
2023-01-09 05:00:00,138.26814
2023-01-09 06:00:00,138.23224
2023-01-09 07:00:00,138.69421
2023-01-09 08:00:00,138.69421
2023-01-09 09:00:00,138.69421
2023-01-09 10:00:00,138.99132
2023-01-09 11:00:00,138.99132
2023-01-09 12:00:00,138.99132
2023-01-09 13:00:00,138.94414
2023-01-09 14:00:00,138.75275
2023-01-09 15:00:00,138.94414
2023-01-09 16:00:00,138.94414
2023-01-09 17:00:00,138.75275
2023-01-09 18:00:00,138.75275
2023-01-09 19:00:00,138.94414
2023-01-09 20:00:00,138.94414
2023-01-09 21:00:00,138.94414
2023-01-09 22:00:00,139.41983
2023-01-09 23:00:00,139.32303
2023-01-10 00:00:00,139.2174
2023-01-10 01:00:00,139.67894
2023-01-10 02:00:00,139.67894
2023-01-10 03:00:00,139.48755
